Bus Number,Source,Destination,Departure Time,Arrival Time
102A,Gandhipuram,Karamadai,N/A,N/A
103,Puliyakulam,Veprapandipudur,N/A,N/A
104A,Ukkadam,patyainpalayam,N/A,N/A
105,Ukkadam,Kojangipalayam,N/A,N/A
105C,Gandhipuram,Karatiampettai,N/A,N/A
106,Town Hall,Kinathukadavu,N/A,N/A
106A,Railway Station,Kinathukadavu,N/A,N/A
106B,Railway Station,Koil Palayam,N/A,N/A
107,KovaiPudur,SIHS Colony,N/A,N/A
108,Ukkadam,Chinnakuili,N/A,N/A
109,Ondipudur,Saibaba Colony,N/A,N/A
110A,Kurumbapalayam,Saibaba Colony,N/A,N/A
110B,Singanallur ESI,Kurumba Palayam,N/A,N/A
111,Gandhipuram,Gandhipuram,N/A,N/A
112,Ukkadam,Goves-rrnent ITI,N/A,N/A
113,Onidpudur,Keeranatham,N/A,N/A
S1,Ondipudur,Maniakarampalayam,N/A,N/A
S2,Uppilipalayam,Kandakavundan Chavadi,N/A,N/A
S3,Chittipalayam,Varadharajapuram,N/A,N/A
S4,Uppilipalayam,Mathipalayam,N/A,N/A
S5,Singanallur,Thirumalayampalayam,N/A,N/A
S6,ESI Hospital,Vellakinaru,N/A,N/A
S7,KovaiPudur,Ondipudur,N/A,N/A
S8,PSG Arts College,Perur,N/A,N/A
S9B,Ondipudur,Sankara Polytechnic,N/A,N/A
S10,Ondipudur,Udaiyampalayam,N/A,N/A
S12,Maruthamalai,Masakalipalayam,N/A,N/A
S13,ESI Hospital,Maruthamalai,N/A,N/A
S14,KovaiPudur,Avarampalayam,N/A,N/A
S15,Singanallur,Maruthamalai,N/A,N/A
S16,Singanallur,Telungupalayam,N/A,N/A
S17,KovaiPudur,Avarampalayam,N/A,N/A
S17,Gandhipuram,Perur,N/A,N/A
S18,Singanallur,NGGO Colony,N/A,N/A
S19,PSG Arts College,Vellalur,N/A,N/A
S20,Singanallur,Chelakaraichal,N/A,N/A
S21,Periyanaickenpalayam,Krishnammal College,N/A,N/A
S22,"ESI, Hospital",Chettipalayam,N/A,N/A
S23,Cheranmaanagar,Ondipudur,N/A,N/A
S24,Ondipudur,Kasi Nanje Coundanpudur,N/A,N/A
S25,KovaiPudur,Singanallur,N/A,N/A
S26,Nanjundapuram,Maruthamalai,N/A,N/A
S27,Singanallur,Sultanpettai,N/A,N/A
S28,ESI Hospital,Chelakaraichal,N/A,N/A
S29,Thudiyalur,Singanallur,N/A,N/A
S30,KovaiPudur,Krishnammal College,N/A,N/A
